Duration, Accuracy, Sample_Mean_loss, Total_comm_time
103663,0.33484,1.89256,15.1992
200382,0.46652,1.4955,25.7916
295633,0.56808,1.22108,35.0571
391334,0.62724,1.05512,47.6409
488250,0.68174,0.910165,60.4166
584942,0.71396,0.825375,70.6729
680322,0.73732,0.762521,81.2904
776697,0.75452,0.709479,90.2869
872623,0.76954,0.663055,102.356
968591,0.78124,0.630372,115.011
1062320,0.79622,0.591258,126.767
1157196,0.80852,0.554049,137.444
1251222,0.8159,0.530352,149.842
1345592,0.82778,0.499206,160.607
1438672,0.8334,0.480905,171.664
