Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
37950,0.26842,2.06783,0.378,2.0055
73604,0.4306,1.62212,0.4721,1.51243
112123,0.51488,1.38029,0.5431,1.31654
147825,0.57014,1.22896,0.576,1.20003
186709,0.6066,1.12729,0.6026,1.12231
224639,0.63374,1.05428,0.6251,1.06859
262731,0.66038,0.984024,0.6365,1.04438
298491,0.67682,0.932573,0.6561,1.0043
336843,0.69432,0.886313,0.667,0.953757
372267,0.7082,0.84516,0.6803,0.930227
410498,0.72106,0.809439,0.6831,0.913718
446177,0.73446,0.774343,0.6947,0.881729
484470,0.7437,0.748809,0.6916,0.889775
520180,0.75506,0.717901,0.708,0.848086
558367,0.76334,0.693941,0.7117,0.844011
