Duration, Accuracy, Sample_Mean_loss, Total_comm_time
74460,0.31028,1.93688,44.1566
148577,0.51954,1.34649,88.2684
222839,0.62042,1.07726,133.193
296977,0.67446,0.930019,177.836
370511,0.71002,0.829494,221.257
443326,0.7336,0.765714,264.857
517623,0.75652,0.699018,308.333
591879,0.77636,0.643228,351.764
666142,0.7953,0.594689,395.494
740384,0.80746,0.559493,439.287
814330,0.81836,0.525381,482.751
887476,0.83444,0.484815,527.516
960528,0.84026,0.460776,572.939
1033744,0.84882,0.438377,618.594
1107289,0.86088,0.408959,664.409
