Duration, Accuracy, Sample_Mean_loss, Total_comm_time
162816,0.26452,2.14233,101.251
355924,0.38528,1.71005,221.364
538737,0.48828,1.43309,337.106
723656,0.5595,1.24729,454.693
901187,0.60054,1.12908,569.558
1081952,0.63912,1.02824,687.489
1266817,0.66082,0.968869,806.776
1449058,0.68672,0.896654,923.718
1633772,0.70432,0.850325,1041
1818483,0.7219,0.796028,1156.65
2003794,0.73366,0.768561,1272.99
2186598,0.74522,0.732889,1388.38
2369208,0.75736,0.700693,1505.53
2555785,0.76646,0.67413,1625.25
2739536,0.77502,0.649263,1741.53
