Duration, Accuracy, Sample_Mean_loss, Total_comm_time
117691,0.36694,1.7957,45.0333
229332,0.50892,1.39524,88.1372
348597,0.5643,1.24438,136.06
460867,0.61492,1.11533,179.465
580050,0.6466,1.0204,229.004
687333,0.66736,0.956707,269.588
795653,0.6835,0.908737,312.521
900222,0.6978,0.868785,351.869
1026199,0.70968,0.832494,404.418
1146604,0.73182,0.779126,451.528
1253882,0.74172,0.742827,492.647
1360166,0.7569,0.701751,531.731
1469275,0.77694,0.649655,573.521
1576006,0.78436,0.620086,611.813
1684950,0.80392,0.573898,655.483
