Duration, Accuracy, Sample_Mean_loss, Total_comm_time
113415,0.29924,2.03593,40.5875
223785,0.38766,1.76981,79.8572
336654,0.45384,1.53365,120.336
444905,0.53564,1.31318,158.068
554248,0.5904,1.1659,199.54
663326,0.62488,1.06068,237.163
781382,0.65716,0.980622,282.464
896727,0.6783,0.923069,323.091
1017264,0.69862,0.868652,366.328
1133355,0.71288,0.823235,406.863
1242749,0.72612,0.791645,447.614
1349525,0.73912,0.753085,485.799
1461788,0.74828,0.727271,530.32
1572354,0.75892,0.695445,569.297
1683360,0.76754,0.671736,609.08
