Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
49107,0.24422,2.16711,0.3618,2.13219
94372,0.40624,1.69531,0.4586,1.53333
143212,0.50162,1.38992,0.5337,1.29678
188943,0.57222,1.21077,0.5737,1.18242
239375,0.62336,1.08109,0.6268,1.07621
285948,0.6578,0.989498,0.6505,1.00462
334770,0.68362,0.915924,0.6655,0.960091
380652,0.70402,0.859534,0.6804,0.914297
429628,0.7213,0.810954,0.6947,0.879367
475365,0.73826,0.765608,0.7015,0.865141
524086,0.74944,0.731303,0.7155,0.832858
569646,0.76202,0.696714,0.7187,0.810226
618778,0.7741,0.666513,0.7245,0.799045
664441,0.7818,0.64075,0.7297,0.785621
713159,0.79076,0.616448,0.7271,0.788012
