Duration, Accuracy, Sample_Mean_loss, Total_comm_time
49895,0.28242,2.0856,12.258
96328,0.41066,1.67096,22.0025
143983,0.4983,1.40954,32.9489
190990,0.56098,1.24361,43.1375
240380,0.60578,1.12747,54.297
287967,0.63944,1.0346,64.205
335484,0.66354,0.966033,74.8902
382741,0.68432,0.909315,85.2992
430539,0.69892,0.868942,96.3211
477286,0.71776,0.817352,106.289
524946,0.72786,0.785059,117.351
571757,0.73976,0.75339,127.35
619626,0.74672,0.733044,138.631
666572,0.75778,0.702428,149.004
713756,0.76386,0.68248,159.61
