Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
99566,0.11426,2.29497,0.1148,2.29558
197752,0.11954,2.26408,0.111,2.25701
284227,0.12138,2.22297,0.1204,2.19645
370758,0.1629,2.15319,0.1927,2.12189
475717,0.25792,2.06209,0.2949,2.00623
570470,0.34678,1.93466,0.3863,1.85791
662629,0.42042,1.78714,0.4511,1.71308
750847,0.48294,1.61292,0.5039,1.55405
852064,0.5372,1.43674,0.5466,1.35568
939900,0.5802,1.2814,0.588,1.22083
1030438,0.61618,1.15589,0.6113,1.13382
1117543,0.6436,1.05508,0.6345,1.05884
1217272,0.67258,0.965053,0.6629,0.971687
1319704,0.69892,0.887027,0.6791,0.927193
1414472,0.7196,0.824849,0.6953,0.878012
