Duration, Accuracy, Sample_Mean_loss, Total_comm_time
100626,0.32648,1.91139,14.051
195856,0.47124,1.49287,23.1394
292280,0.55954,1.24097,33.9169
386835,0.62918,1.05075,43.3176
484986,0.67932,0.91826,54.8577
580392,0.71158,0.83324,66.3735
677855,0.73634,0.762611,76.628
774296,0.7513,0.714929,85.5961
869160,0.76716,0.668824,94.6868
965747,0.78092,0.631165,105.271
1059616,0.79728,0.587492,115.64
1154063,0.80376,0.564959,125.435
1248056,0.8197,0.5261,138.732
1342589,0.82638,0.502368,148.241
1437219,0.83474,0.473493,160.74
