Duration, Accuracy, Sample_Mean_loss, Total_comm_time
176426,0.31628,1.95581,112.83
346399,0.48782,1.43235,219.301
519126,0.60368,1.12414,324.005
685062,0.66566,0.951981,424.499
855654,0.7062,0.844942,528.854
1032728,0.7339,0.767381,638.066
1209470,0.75442,0.708876,744.176
1385866,0.76974,0.666161,849.798
1562715,0.78664,0.615183,959.299
1740183,0.79894,0.582445,1068.31
1918084,0.81242,0.544907,1180.27
2090805,0.817,0.525453,1288.15
2264142,0.8337,0.484715,1395.13
2438546,0.8375,0.467024,1501.28
2613244,0.8472,0.439565,1609.15
