Duration, Accuracy, Sample_Mean_loss, Total_comm_time
47790,0.27038,2.03562,17.3831
94076,0.41388,1.64974,35.613
142724,0.46554,1.4933,55.3496
191796,0.49484,1.41478,75.4024
238655,0.5243,1.34177,93.9523
283605,0.54218,1.28695,112.623
327218,0.55308,1.25378,131.171
371417,0.56486,1.21917,147.863
416962,0.58432,1.17489,167.86
462993,0.59994,1.13608,187.377
507869,0.61114,1.10433,202.543
551121,0.61984,1.08119,217.51
595511,0.63118,1.05463,232.763
639255,0.63286,1.04691,247.788
684513,0.64516,1.01455,267.175
