Duration, Accuracy, Sample_Mean_loss, Total_comm_time
178880,0.27462,2.12709,116.677
357376,0.38716,1.7429,236.142
534676,0.48892,1.42796,349.59
721806,0.56034,1.2413,468.959
904016,0.61064,1.10888,583.861
1078967,0.64546,1.0147,693.923
1247844,0.6711,0.939199,800.466
1408971,0.69522,0.878776,903.326
1568622,0.70704,0.838589,1005.69
1729699,0.72864,0.784249,1106.86
1890379,0.74018,0.751601,1209.16
2050352,0.74888,0.72545,1313.26
2211281,0.76208,0.686732,1417.63
2387398,0.76876,0.669208,1531.98
2570835,0.77806,0.640831,1650.19
