Duration, Accuracy, Sample_Mean_loss, Total_comm_time
38852,0.28648,2.05538,7.54077
78567,0.4234,1.66445,14.3961
117126,0.50286,1.42996,21.8069
155852,0.55374,1.27949,28.5967
195031,0.59116,1.17697,36.0093
233908,0.62032,1.08979,42.9471
273166,0.64212,1.02588,50.34
311781,0.66122,0.980243,57.157
351088,0.6786,0.928177,64.4994
389478,0.68846,0.893545,71.3547
426890,0.70418,0.852921,79.5225
463790,0.71342,0.827673,86.5849
500388,0.72324,0.799027,94.0444
536742,0.73542,0.77023,100.858
573472,0.74194,0.747731,108.295
