Duration, Accuracy, Sample_Mean_loss, Total_comm_time
115782,0.31052,2.0312,42.2457
226074,0.38548,1.77678,82.488
338719,0.45562,1.52594,122.952
447108,0.5291,1.31849,159.806
556321,0.58828,1.16903,200.295
666211,0.62756,1.06145,240.251
783762,0.66098,0.969932,285.949
899203,0.67964,0.921955,326.728
1019745,0.6974,0.874792,370.524
1135348,0.71142,0.826967,412.198
1245178,0.72932,0.783103,452.938
1351530,0.73992,0.754132,490.252
1463943,0.75118,0.720993,533.966
1574821,0.7602,0.697461,574.123
1684541,0.76792,0.674479,614.474
