Duration, Accuracy, Sample_Mean_loss, Total_comm_time
93969,0.32946,1.92749,12.0117
194359,0.45774,1.57326,22.3754
282880,0.5117,1.42625,31.2021
372770,0.5482,1.31922,41.3986
469432,0.56834,1.25666,54.6297
566650,0.59484,1.18449,65.609
661626,0.60628,1.14794,76.4898
754785,0.62774,1.08805,87.71
845479,0.63682,1.05255,98.6666
936230,0.65844,0.991972,107.968
1028831,0.66268,0.982219,118.714
1120099,0.6799,0.930779,128.746
1212025,0.67918,0.927299,141.385
1315468,0.7036,0.860061,152.525
1413345,0.71694,0.821886,163.853
