Duration, Accuracy, Sample_Mean_loss, Total_comm_time
119009,0.31726,1.9497,44.7786
232405,0.48148,1.43562,84.0538
349519,0.60212,1.12447,126.794
462248,0.66726,0.948091,166.716
579239,0.71296,0.829799,208.961
691272,0.74094,0.754569,246.839
805263,0.76052,0.695841,290.077
915208,0.77264,0.656025,329.957
1027486,0.78586,0.617153,371.932
1136621,0.80132,0.577691,410.782
1251255,0.80818,0.551503,453.865
1362472,0.8229,0.512805,494.241
1476456,0.82776,0.495635,537.409
1588046,0.84406,0.453023,576.672
1699292,0.85004,0.43599,618.153
