Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
48336,0.24328,2.19719,0.3362,2.1794
93097,0.44298,1.6811,0.5182,1.43901
141085,0.5805,1.22504,0.6204,1.09425
185890,0.65832,0.986392,0.6667,0.956973
238547,0.7046,0.854797,0.6942,0.875683
286180,0.73796,0.759014,0.7145,0.822185
337315,0.76314,0.690994,0.7265,0.789353
383064,0.78266,0.638309,0.7306,0.777068
432056,0.79696,0.596264,0.7336,0.761508
477685,0.81132,0.557162,0.7415,0.756347
525782,0.82374,0.523367,0.7408,0.759143
571745,0.8359,0.49138,0.7431,0.754141
619855,0.84596,0.461311,0.743,0.757568
664425,0.85624,0.435321,0.7471,0.759455
711972,0.86616,0.40876,0.7432,0.768309
