Duration, Accuracy, Sample_Mean_loss, Total_comm_time
118767,0.36254,1.79932,43.6217
230001,0.50724,1.39868,84.3437
349630,0.5691,1.2255,130.944
461744,0.6126,1.1136,173.16
581180,0.63868,1.04098,223.141
688401,0.66858,0.963562,264.44
796693,0.6856,0.907432,305.518
901265,0.6966,0.875018,342.025
1027134,0.71254,0.832011,389.953
1147736,0.72752,0.785747,436.243
1254629,0.74522,0.733897,476.154
1360820,0.75686,0.700696,514.079
1470314,0.77468,0.649998,554.601
1577564,0.78994,0.607709,593.36
1685544,0.79788,0.585976,635.066
