Duration, Accuracy, Sample_Mean_loss, Total_comm_time
120932,0.30972,1.96592,47.5794
234767,0.4844,1.42889,86.0854
351488,0.59944,1.12473,128.479
465214,0.67168,0.940145,168.542
581272,0.7106,0.833108,211.178
693307,0.7393,0.754552,248.544
807484,0.7617,0.689879,292.533
917380,0.77752,0.647422,330.664
1029432,0.79058,0.607011,375.098
1139195,0.80172,0.57903,413.194
1253058,0.81246,0.543184,453.863
1365135,0.8259,0.507364,492.551
1478659,0.8305,0.490816,536.433
1590324,0.83956,0.465812,575.38
1700438,0.85364,0.427063,618.014
