Duration, Accuracy, Sample_Mean_loss, Total_comm_time
104023,0.37724,1.75215,18.4985
213926,0.54736,1.29103,32.8585
314410,0.61246,1.11115,45.7614
415011,0.65246,0.999482,57.0178
513609,0.67962,0.927335,69.9992
609858,0.69842,0.876023,80.1718
698598,0.71494,0.833756,89.8359
798462,0.7224,0.810914,100.937
904720,0.73844,0.77163,114.009
1014390,0.73898,0.765033,126.615
1123891,0.74596,0.743427,139.188
1229384,0.75566,0.71348,151.608
1336911,0.76066,0.701614,169.317
1438589,0.76466,0.696332,180.512
1531757,0.7718,0.670973,191.815
