Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
184973,0.24436,2.04741,0.3735,1.91498
367334,0.49962,1.37411,0.5701,1.21693
551392,0.62816,1.04767,0.6469,1.00836
734524,0.69452,0.871522,0.6844,0.908232
904194,0.73804,0.755308,0.7073,0.839924
1092267,0.76574,0.67745,0.7228,0.798055
1285137,0.78898,0.614758,0.7292,0.792926
1462751,0.80848,0.561489,0.738,0.772831
1631174,0.82484,0.516315,0.7363,0.778423
1821391,0.84162,0.474474,0.7415,0.777771
1995045,0.85464,0.440363,0.7441,0.767131
2170755,0.86632,0.407082,0.7412,0.785724
2353335,0.8784,0.377113,0.7408,0.78795
2531076,0.88836,0.349144,0.7402,0.812881
2715658,0.89888,0.32419,0.74,0.824289
