Duration, Accuracy, Sample_Mean_loss, Total_comm_time
95775,0.3494,1.87845,8.56216
190980,0.47438,1.48029,18.8649
285856,0.55658,1.25178,31.8417
381262,0.6264,1.06301,49.046
479803,0.67528,0.929608,61.2577
576448,0.70902,0.836855,74.3856
673010,0.7335,0.768659,85.3664
766528,0.7535,0.709981,93.2579
864309,0.76868,0.665398,108.157
960714,0.7812,0.632306,118.192
1054207,0.79186,0.595659,130.217
1147991,0.80584,0.561662,142.949
1244119,0.81484,0.538046,158.867
1338285,0.8245,0.507186,170.028
1431940,0.83178,0.486132,181.401
