Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
48127,0.26762,2.03733,0.3393,1.83083
94415,0.4149,1.6468,0.4023,1.63037
143261,0.46452,1.48924,0.4054,1.61099
192132,0.49626,1.40891,0.3852,1.66716
238981,0.525,1.33595,0.432,1.5588
284264,0.54242,1.28324,0.4841,1.44721
327698,0.55842,1.24282,0.4647,1.4911
371903,0.57298,1.21069,0.5355,1.33084
417558,0.58706,1.16853,0.4895,1.40596
463204,0.60372,1.12762,0.5277,1.33062
508086,0.61668,1.09498,0.5143,1.33726
551343,0.6236,1.0743,0.4701,1.48553
595706,0.63324,1.04742,0.529,1.32652
639482,0.63666,1.0333,0.4771,1.45363
685024,0.64626,1.00815,0.5048,1.45858
