Duration, Accuracy, Sample_Mean_loss, Total_comm_time
97159,0.31652,1.92442,11.4756
193353,0.466,1.49802,20.5944
287569,0.5601,1.23899,29.9221
384738,0.63102,1.05354,40.1996
481758,0.67518,0.934662,52.1013
578010,0.70572,0.841846,64.1676
674389,0.73586,0.765043,75.4917
768615,0.74738,0.720681,84.46
865259,0.7658,0.672832,96.645
962254,0.77742,0.636514,108.917
1055134,0.79388,0.594008,120.922
1150671,0.802,0.566596,131.5
1245888,0.81772,0.527682,143.916
1340028,0.82408,0.503677,155.834
1433682,0.84042,0.466386,167.614
