Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
44065,0.306,1.95471,0.4231,1.79039
88301,0.52786,1.32129,0.5732,1.20325
132855,0.62418,1.06817,0.6335,1.03698
177885,0.68022,0.923503,0.663,0.957159
221410,0.71464,0.82696,0.6913,0.898852
265223,0.7399,0.755091,0.7026,0.867043
309272,0.76268,0.697768,0.714,0.831276
352599,0.77962,0.648308,0.7223,0.815149
396066,0.79366,0.607638,0.7309,0.789676
439599,0.80674,0.572736,0.7334,0.785642
483274,0.81712,0.536994,0.7339,0.788158
526754,0.83184,0.505808,0.7417,0.774669
570196,0.84138,0.477102,0.7404,0.788981
613890,0.85244,0.449362,0.7411,0.783079
657581,0.86078,0.424487,0.7355,0.798368
