Duration, Accuracy, Sample_Mean_loss, Total_comm_time
123710,0.31058,1.96522,50.6841
237241,0.48316,1.42787,92.1059
353679,0.59942,1.1271,134.923
467170,0.66912,0.944032,174.92
583540,0.7087,0.835307,218.321
695201,0.73682,0.759916,258.546
809791,0.76032,0.696923,303.431
919518,0.77716,0.645205,345.312
1031774,0.79068,0.6087,393.138
1141288,0.79834,0.582805,431.784
1255497,0.81604,0.534564,474.019
1367088,0.82476,0.512374,515.537
1480971,0.83202,0.484987,559.264
1592338,0.84014,0.462333,597.473
1701904,0.85096,0.430584,639.661
