Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
180548,0.17594,2.23197,0.3293,2.25223
358843,0.38992,1.7616,0.4538,1.55592
536056,0.5029,1.3974,0.5471,1.28363
723546,0.5808,1.19029,0.6039,1.14173
905301,0.62964,1.05489,0.6412,1.04184
1080585,0.66724,0.957275,0.6655,0.968969
1248998,0.69692,0.879214,0.6841,0.911484
1410294,0.7194,0.816087,0.7007,0.868325
1570074,0.7373,0.765562,0.7122,0.836853
1730880,0.75494,0.722289,0.7156,0.818517
1891700,0.76728,0.68373,0.7251,0.797498
2051841,0.7803,0.650043,0.7279,0.784649
2212607,0.78982,0.619821,0.7299,0.778782
2389262,0.8005,0.592817,0.7394,0.766825
2572250,0.80864,0.567122,0.7407,0.759479
