Duration, Accuracy, Sample_Mean_loss, Total_comm_time
47325,0.3628,1.80386,6.29125
92330,0.5178,1.37113,10.6384
136847,0.58372,1.19383,14.6803
181964,0.62382,1.08381,18.8998
228405,0.6564,0.988256,23.8973
272508,0.67396,0.938417,28.0258
315707,0.69348,0.877224,32.2036
358265,0.71848,0.81524,36.372
400833,0.72812,0.781567,41.1872
443708,0.75276,0.718394,45.3991
486478,0.76692,0.677567,49.7222
528750,0.7821,0.635509,54.0741
571412,0.79568,0.594791,58.9931
614699,0.80554,0.562611,63.1594
655951,0.8145,0.53858,67.1354
