Duration, Accuracy, Sample_Mean_loss, Total_comm_time
101842,0.33082,1.90146,12.7105
198247,0.46312,1.49829,22.4806
293901,0.55276,1.26338,32.0665
389758,0.6322,1.04572,42.2632
486979,0.6809,0.912795,52.2713
583641,0.71202,0.825915,62.0256
678891,0.7328,0.76916,71.9941
775544,0.7547,0.708416,81.8225
870239,0.76718,0.672088,92.1893
967570,0.78106,0.630404,103.42
1061129,0.79846,0.587739,113.846
1155231,0.80442,0.566801,123.408
1249748,0.81558,0.531546,136.553
1343717,0.8264,0.503466,148.17
1438190,0.83206,0.483033,159.518
