Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
49207,0.20194,2.24556,0.345,2.24963
94137,0.3945,1.89664,0.4479,1.68386
145797,0.50088,1.4674,0.5357,1.32648
192318,0.57316,1.22729,0.5865,1.1821
241424,0.6206,1.09125,0.6267,1.06953
286813,0.65856,0.991781,0.651,1.0034
336342,0.68764,0.914416,0.6726,0.946128
381986,0.70738,0.856133,0.688,0.906232
430941,0.72576,0.805049,0.7003,0.875636
477624,0.73948,0.765824,0.7056,0.855163
527444,0.75214,0.728894,0.7124,0.832139
572657,0.7639,0.697326,0.7188,0.811048
621301,0.77408,0.668571,0.7252,0.800722
666808,0.78376,0.643939,0.7284,0.791237
715084,0.7924,0.619925,0.7291,0.789218
