Duration, Accuracy, Sample_Mean_loss, Total_comm_time
48528,0.32432,1.91911,8.79671
97886,0.50142,1.39842,18.7206
148217,0.6028,1.12417,29.7478
197188,0.66102,0.966178,39.3762
246503,0.69988,0.862012,50.0132
293025,0.72464,0.795949,59.7267
340549,0.74358,0.738125,70.2304
387109,0.76526,0.677942,79.307
434077,0.77768,0.641885,89.2683
480848,0.78584,0.6167,99.1034
528700,0.79556,0.589461,109.76
575189,0.81158,0.54857,119.28
622456,0.8223,0.517411,129.585
669045,0.83044,0.490506,139.442
716206,0.84022,0.464926,149.571
