Duration, Accuracy, Sample_Mean_loss, Total_comm_time
108047,0.34028,1.87675,40.5168
214606,0.48062,1.46759,81.4899
322741,0.56214,1.24997,123.779
428411,0.6268,1.06221,162.619
543888,0.6723,0.938043,208.193
655344,0.70998,0.835012,252.123
777236,0.74066,0.752172,302.33
887704,0.75612,0.707834,345.945
997204,0.76576,0.676401,388.65
1102267,0.78416,0.622648,427.525
1213716,0.79642,0.586018,472.315
1325513,0.80724,0.556002,514.898
1436150,0.81996,0.521805,560.157
1544071,0.829,0.494293,600.985
1652257,0.83506,0.475045,643.832
