Duration, Accuracy, Sample_Mean_loss, Total_comm_time
43511,0.33104,1.89794,17.2589
87735,0.52262,1.33215,36.7407
132626,0.60784,1.11016,52.9973
177661,0.66144,0.968543,68.2728
221217,0.69244,0.885853,83.6599
264973,0.7154,0.813754,98.8416
309046,0.73548,0.761518,114.21
352351,0.75262,0.715086,129.488
395885,0.7721,0.666621,144.854
439351,0.7828,0.633691,160.028
483060,0.79368,0.598713,175.436
526562,0.80428,0.570951,190.622
569931,0.81124,0.547393,205.905
613366,0.82396,0.514251,222.847
657209,0.83336,0.490402,240.722
