Duration, Accuracy, Sample_Mean_loss, Total_comm_time
115479,0.3068,1.97107,46.1235
228798,0.47298,1.46598,89.7553
346611,0.59236,1.14744,138.376
459485,0.66438,0.952662,180.791
576084,0.70728,0.842074,225.464
687705,0.73982,0.755567,266.965
802076,0.75422,0.708501,313.925
912178,0.77236,0.658425,357.168
1024823,0.79044,0.607954,404.345
1132994,0.79936,0.585117,446.791
1248355,0.81134,0.547466,495.417
1359761,0.82544,0.50777,538.166
1473273,0.8297,0.49174,583.157
1584974,0.84522,0.450589,624.683
1697019,0.8503,0.434266,669.522
