Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
50780,0.25524,2.16243,0.393,2.15216
95714,0.46004,1.61498,0.5192,1.38483
140598,0.58552,1.18532,0.6154,1.09011
184814,0.6633,0.964474,0.6633,0.962869
235794,0.70772,0.841237,0.6815,0.904426
281292,0.73996,0.756369,0.7141,0.828485
325904,0.76202,0.692498,0.7223,0.799531
369795,0.78296,0.639364,0.7307,0.778374
421034,0.79696,0.598631,0.7283,0.792066
465922,0.80974,0.561081,0.7373,0.765422
510109,0.82332,0.524946,0.743,0.760741
552828,0.83396,0.496009,0.7436,0.757929
601750,0.84708,0.464171,0.7458,0.765195
644431,0.85638,0.43847,0.7446,0.789369
687340,0.86732,0.414321,0.7469,0.764645
