Duration, Accuracy, Sample_Mean_loss, Total_comm_time
180001,0.27198,2.12677,105.954
358102,0.38214,1.74503,216.978
535474,0.4891,1.43146,328.03
722706,0.56262,1.23957,446.573
904764,0.60578,1.11052,560.277
1079698,0.64218,1.01707,672.262
1248593,0.67468,0.938688,776.953
1409722,0.69634,0.874153,879.586
1569520,0.71012,0.840498,980.223
1730456,0.72656,0.786142,1081.79
1891227,0.73928,0.751664,1182.51
2050939,0.75218,0.714333,1282.58
2212020,0.7591,0.697331,1384.72
2388438,0.77076,0.666726,1495.16
2571433,0.7785,0.639204,1608.55
