Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
44505,0.28166,2.07412,0.3689,2.01055
87567,0.4227,1.64651,0.4675,1.5259
130694,0.50646,1.40058,0.5238,1.32945
173966,0.56624,1.24159,0.5745,1.21981
217145,0.60236,1.13918,0.5995,1.14195
260210,0.62972,1.05879,0.6259,1.06957
303550,0.65398,0.990107,0.6398,1.03059
346725,0.67412,0.933423,0.6528,0.98574
390182,0.6939,0.882404,0.6642,0.951072
434110,0.7086,0.841932,0.6748,0.921024
477815,0.72354,0.802392,0.6866,0.907644
521241,0.73268,0.773862,0.6929,0.872422
565454,0.7459,0.740581,0.6994,0.864588
608914,0.7571,0.710962,0.6953,0.876595
651240,0.76524,0.686129,0.7052,0.851539
