Duration, Accuracy, Sample_Mean_loss, Total_comm_time
47973,0.35564,1.83834,11.2654
94427,0.5014,1.41406,20.7265
140632,0.58166,1.18882,30.8155
187222,0.64244,1.03234,40.65
238282,0.6796,0.917848,51.2839
287807,0.7109,0.831533,60.9192
337024,0.73208,0.771418,71.0418
384504,0.74878,0.728816,80.1207
431819,0.76566,0.671614,89.8525
478833,0.77496,0.647289,99.4483
525552,0.79056,0.606762,109.797
573088,0.79924,0.57625,119.076
619649,0.80902,0.548345,129.413
665515,0.81978,0.520101,138.87
711778,0.82632,0.499671,149.158
