Duration, Accuracy, Sample_Mean_loss, Total_comm_time
113052,0.33574,1.8843,41.028
220271,0.48462,1.4536,80.0155
328132,0.56382,1.23839,117.997
433559,0.63074,1.05361,155.477
548770,0.67766,0.929256,198.238
661119,0.7139,0.830315,236.834
782973,0.73338,0.769386,283.594
893371,0.75182,0.712813,322.131
1002373,0.76744,0.670291,362.393
1108086,0.78022,0.630185,397.561
1218595,0.79506,0.58903,437.76
1330943,0.80812,0.553821,475.618
1441700,0.81748,0.525492,515.011
1549118,0.82534,0.505293,552.687
1655349,0.834,0.4753,592.338
