Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
47795,0.11554,2.29323,0.1161,2.28355
94478,0.15214,2.22997,0.1744,2.18642
136709,0.22502,2.11003,0.2617,2.05318
177781,0.2997,1.98236,0.3178,1.94051
226475,0.36202,1.86178,0.3841,1.8158
269122,0.41732,1.7464,0.4344,1.69791
313461,0.46706,1.62492,0.4632,1.6014
355642,0.50128,1.51805,0.4984,1.50431
403037,0.53258,1.41725,0.5287,1.40426
445719,0.56118,1.31276,0.5452,1.33919
488164,0.585,1.23422,0.5653,1.27274
531318,0.6055,1.16644,0.5857,1.22382
580321,0.62508,1.10427,0.6045,1.16402
621102,0.64742,1.03628,0.6163,1.12597
661680,0.667,0.974384,0.6369,1.07765
