Duration, Accuracy, Sample_Mean_loss, Total_comm_time
92013,0.33706,1.91077,10.2624
192408,0.46798,1.55275,23.2293
282505,0.51254,1.41896,32.6454
370523,0.54692,1.31813,41.8351
466914,0.57406,1.24435,54.6594
565424,0.5961,1.18828,66.6107
659808,0.61504,1.12329,75.9247
753944,0.63168,1.07464,85.761
844266,0.651,1.02179,97.1282
935023,0.66064,0.986502,108.174
1027736,0.67312,0.951717,117.715
1118343,0.68664,0.914351,127.221
1210541,0.6937,0.891696,140.666
1313123,0.70702,0.851231,153.201
1412289,0.7183,0.817866,166.075
