Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
44831,0.22032,2.16134,0.2443,2.08173
89284,0.33026,1.90706,0.3418,1.87753
132864,0.3785,1.76374,0.3561,1.80643
177294,0.40676,1.66457,0.3554,1.79896
222234,0.42976,1.59276,0.3159,1.91637
267178,0.44768,1.54086,0.3846,1.72804
311634,0.45942,1.50452,0.3438,1.73919
356440,0.47346,1.46601,0.3608,1.78313
401135,0.48222,1.44306,0.3664,1.84069
445588,0.4959,1.40985,0.3948,1.63046
492621,0.50192,1.39123,0.4258,1.59826
537511,0.51006,1.37163,0.3824,1.76386
582218,0.5194,1.34448,0.4128,1.60117
627072,0.52756,1.32733,0.3393,1.98613
672058,0.5366,1.30306,0.3515,2.0004
