Duration, Accuracy, Sample_Mean_loss, Total_comm_time
48626,0.37466,1.75147,7.08353
96897,0.53844,1.3094,11.9319
140350,0.59948,1.14354,16.1506
182576,0.64178,1.03585,20.1862
227315,0.66602,0.968676,25.0427
271576,0.68646,0.908516,29.2276
317039,0.69966,0.876302,33.8062
360571,0.71172,0.834172,37.9227
403824,0.7172,0.820542,43.0856
447993,0.72612,0.792745,48.1129
491923,0.72368,0.797815,52.5097
536881,0.74412,0.743838,57.2939
581038,0.75088,0.718706,62.2153
623548,0.75754,0.700561,66.2108
664422,0.76072,0.691342,70.1696
