Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
43490,0.31322,1.92632,0.4392,1.733
88719,0.51138,1.37016,0.5605,1.25273
134178,0.61016,1.11925,0.6251,1.07559
179639,0.66156,0.968187,0.6458,1.00877
224988,0.69818,0.873295,0.6731,0.949539
270225,0.72332,0.79626,0.6899,0.90934
315374,0.74614,0.735623,0.6905,0.889203
360822,0.76668,0.679384,0.7113,0.831184
406097,0.78314,0.634516,0.7141,0.843846
451126,0.79838,0.594895,0.71,0.84383
496130,0.80796,0.563234,0.7109,0.839144
540692,0.82082,0.527717,0.72,0.826283
586341,0.83406,0.494841,0.7197,0.828369
633803,0.84306,0.469087,0.7181,0.83099
679644,0.85336,0.444161,0.7209,0.838018
