Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
113947,0.1307,2.28997,0.1222,2.2945
215531,0.24206,2.20082,0.3276,2.14266
328273,0.37888,1.98631,0.4055,1.85032
434680,0.46292,1.68721,0.5056,1.52103
551057,0.54066,1.39191,0.5701,1.2684
659737,0.59782,1.18131,0.6166,1.11876
778582,0.64212,1.04076,0.6503,1.0146
887419,0.67722,0.939867,0.6708,0.946843
1006939,0.70386,0.861851,0.6949,0.887856
1117701,0.72684,0.800282,0.7096,0.851183
1229908,0.74506,0.749873,0.7198,0.819708
1331575,0.75938,0.707919,0.726,0.799561
1441066,0.77272,0.670978,0.733,0.780787
1543531,0.78486,0.639153,0.7394,0.765274
1651186,0.79548,0.608682,0.7424,0.755493
