Duration, Accuracy, Sample_Mean_loss, Total_comm_time
91876,0.37568,1.74103,11.0975
199353,0.54362,1.29433,25.5876
302653,0.60096,1.13986,41.9216
401844,0.64532,1.01967,53.5108
502010,0.67064,0.945831,66.5935
600280,0.69092,0.890499,78.2891
686536,0.70256,0.864546,86.3882
785913,0.71906,0.820174,99.8612
892283,0.73144,0.788009,118.849
1000732,0.73684,0.764051,133.475
1111750,0.7429,0.745025,147.995
1215214,0.75366,0.719866,160.424
1324152,0.7545,0.711405,181.959
1427310,0.76302,0.694045,196.214
1523789,0.76312,0.687857,209.248
