Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
104700,0.11204,2.30712,0.1139,2.29939
200370,0.1173,2.28826,0.1098,2.28478
300877,0.10826,2.28291,0.1049,2.28016
398291,0.10584,2.27823,0.1047,2.27417
522277,0.10588,2.27138,0.1061,2.26617
628358,0.11128,2.26383,0.1155,2.26109
730018,0.1205,2.25312,0.1252,2.25397
823499,0.13646,2.24134,0.1456,2.23733
926965,0.1555,2.22446,0.162,2.22027
1017422,0.18044,2.20266,0.1899,2.19135
1105538,0.20948,2.173,0.2114,2.16704
1195054,0.23356,2.14405,0.2402,2.1291
1295637,0.25806,2.10817,0.2656,2.08709
1384069,0.27658,2.07244,0.2789,2.05845
1473071,0.29734,2.03179,0.2993,2.01277
