Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
167180,0.23128,2.15703,0.3265,2.17064
360858,0.39658,1.68311,0.4574,1.54874
543906,0.49966,1.3999,0.5327,1.3053
728667,0.57544,1.20227,0.5934,1.15477
905764,0.6247,1.07024,0.6274,1.05476
1086840,0.66042,0.974092,0.6507,0.989228
1272089,0.68788,0.89889,0.6738,0.936247
1454174,0.70878,0.83889,0.689,0.898403
1638938,0.72918,0.786863,0.6988,0.878215
1823740,0.74614,0.742769,0.7086,0.846291
2009190,0.76012,0.703412,0.7192,0.817092
2191886,0.77034,0.66968,0.7177,0.827058
2374272,0.78136,0.639055,0.7244,0.803468
2560854,0.79352,0.608156,0.7299,0.786041
2743475,0.80256,0.583202,0.7274,0.785514
