Duration, Accuracy, Sample_Mean_loss, Total_comm_time
177078,0.26634,2.11514,116.693
355246,0.38276,1.74508,237.599
532851,0.48974,1.43586,347.821
720265,0.55604,1.25307,465.864
902390,0.60994,1.10637,581.757
1076596,0.6443,1.01723,695.464
1246323,0.66842,0.944872,806.204
1407430,0.69088,0.885868,909.317
1567189,0.71142,0.833662,1013.08
1728116,0.72366,0.797302,1117.46
1888839,0.73944,0.75311,1220.26
2048759,0.75172,0.717459,1321.84
2209671,0.75728,0.699883,1426.1
2385346,0.76602,0.671944,1541.67
2569955,0.77484,0.647686,1660.18
