Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
175169,0.22376,2.17361,0.3432,2.17223
344892,0.47976,1.4986,0.5653,1.21505
517492,0.62596,1.06661,0.6492,1.00664
683902,0.69232,0.882483,0.686,0.903151
854383,0.73496,0.771427,0.7092,0.843527
1031278,0.76362,0.69192,0.7179,0.809912
1207808,0.78464,0.631261,0.7342,0.777404
1384363,0.80184,0.581309,0.7384,0.7643
1561234,0.81778,0.538332,0.7397,0.759872
1738849,0.83056,0.502708,0.742,0.752856
1916547,0.84416,0.467647,0.7424,0.757365
2089573,0.85598,0.436717,0.7417,0.764326
2262554,0.8655,0.407517,0.7444,0.763614
2437262,0.87742,0.378778,0.7459,0.771836
2612643,0.88764,0.353576,0.7432,0.787794
