Duration, Accuracy, Sample_Mean_loss, Total_comm_time
174562,0.32146,1.93402,108.082
344215,0.48354,1.44587,214.175
516686,0.60096,1.12848,322.504
683354,0.66468,0.952404,426.635
853778,0.7066,0.841823,532.499
1030545,0.73488,0.767161,643.37
1207076,0.75496,0.709911,754.279
1383543,0.77012,0.661085,866.11
1560494,0.78726,0.616344,979.458
1738351,0.79822,0.582304,1089.52
1916015,0.81114,0.545764,1198.69
2088997,0.81584,0.527907,1306.58
2261883,0.82924,0.489747,1412.93
2436802,0.83944,0.461391,1518.98
2611839,0.84832,0.440095,1626.95
