Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
43765,0.26002,2.06338,0.3507,1.86867
88447,0.4035,1.67727,0.4317,1.61151
134039,0.46504,1.50291,0.392,1.67154
179319,0.49666,1.40791,0.4074,1.58674
224861,0.51884,1.34434,0.4425,1.64591
269763,0.54108,1.29152,0.4278,1.60948
315505,0.56266,1.24215,0.4385,1.55146
360466,0.57166,1.21133,0.4982,1.42559
406663,0.58594,1.17769,0.4118,1.6905
451870,0.5989,1.1425,0.4848,1.43225
497160,0.6029,1.12792,0.486,1.46371
543343,0.61348,1.09515,0.4383,1.58639
589119,0.62122,1.07511,0.482,1.46869
634851,0.62796,1.05801,0.5207,1.33579
680575,0.63784,1.0335,0.4653,1.50413
