Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
38299,0.2527,2.13018,0.3977,1.96616
73310,0.48056,1.53394,0.5351,1.34154
109437,0.58984,1.18319,0.6016,1.12092
143734,0.65072,1.00471,0.6532,0.995241
180373,0.69384,0.888931,0.6789,0.917699
212643,0.72164,0.808037,0.6998,0.87091
244883,0.74466,0.745649,0.7118,0.83466
277061,0.76082,0.698329,0.7206,0.813771
313843,0.77536,0.658756,0.7236,0.79811
346939,0.78812,0.622449,0.7294,0.784986
380330,0.80156,0.588025,0.7319,0.770275
412759,0.81314,0.557397,0.7358,0.76168
449293,0.82092,0.529433,0.7381,0.763478
481464,0.83044,0.502781,0.7444,0.753209
513789,0.83932,0.479814,0.7426,0.756668
