Duration, Accuracy, Sample_Mean_loss, Total_comm_time
72069,0.28018,2.07176,41.4753
144453,0.4248,1.61428,81.4411
216795,0.5052,1.39624,121.32
289538,0.56434,1.23793,162.148
361581,0.60248,1.12741,203.084
433908,0.63282,1.04955,244.292
507173,0.65692,0.973715,286.795
579804,0.68144,0.916279,328.553
652534,0.69886,0.868903,370.299
725091,0.70928,0.83456,411.9
798048,0.72648,0.788918,454.055
870745,0.7403,0.752841,495.652
943633,0.74702,0.729686,537.764
1016572,0.75628,0.703996,579.574
1088967,0.76542,0.678725,620.742
