Duration, Accuracy, Sample_Mean_loss, Total_comm_time
44537,0.3344,1.90898,6.28068
87243,0.47012,1.54144,10.9254
129417,0.5224,1.38824,15.5074
171682,0.5601,1.27999,19.8781
214088,0.5874,1.20262,24.8573
256849,0.59982,1.15866,29.0403
301016,0.61946,1.10085,33.4229
344799,0.64234,1.03507,37.427
389358,0.65044,1.01438,42.9665
433362,0.66708,0.962513,47.6522
477589,0.67582,0.938142,51.7889
523371,0.69128,0.902937,56.2
571030,0.6985,0.870827,61.7455
615211,0.70934,0.845774,66.0777
659217,0.72028,0.812253,70.3853
