Duration, Accuracy, Sample_Mean_loss, Total_comm_time
43776,0.3359,1.90539,5.50873
86150,0.45736,1.5548,9.84768
128815,0.50822,1.41284,14.0001
170677,0.54682,1.30723,18.1483
212996,0.57712,1.22867,23.0383
255539,0.59506,1.1737,27.5234
299589,0.61604,1.11292,31.6818
344039,0.63268,1.06768,36.5972
388457,0.64836,1.01705,41.6852
432168,0.66714,0.965171,45.8334
476457,0.673,0.948696,49.9699
522688,0.69098,0.899366,54.3407
569981,0.69514,0.887363,59.1381
614335,0.70928,0.846647,63.2865
658075,0.71714,0.828028,67.3331
