Duration, Accuracy, Sample_Mean_loss, Total_comm_time
178145,0.28412,2.11865,105.978
356910,0.3839,1.75277,215.042
533907,0.492,1.42728,326.282
721126,0.56024,1.24393,443.901
903248,0.60796,1.11449,558.601
1077841,0.64086,1.02451,671.802
1247396,0.672,0.940393,779.887
1408334,0.69668,0.876116,881.998
1568089,0.711,0.835439,982.608
1728960,0.72796,0.786342,1085.78
1889668,0.73882,0.752432,1191.37
2050146,0.75254,0.714828,1293.62
2210446,0.76258,0.690498,1394.86
2386463,0.77236,0.659624,1507.31
2570412,0.78334,0.632811,1626.27
