Duration, Accuracy, Sample_Mean_loss, Total_comm_time
36043,0.34166,1.88255,7.69778
73578,0.51074,1.37901,15.6106
110740,0.59838,1.14013,23.0909
147224,0.64758,1.00617,30.0635
183905,0.68242,0.909737,37.5493
220335,0.70588,0.845926,44.511
256970,0.72698,0.782145,52.0619
293283,0.74308,0.740169,58.9508
329733,0.75874,0.690637,66.4955
365784,0.77156,0.663406,73.4448
402443,0.7798,0.630234,81.0757
438793,0.79264,0.594236,88.001
475342,0.79872,0.575633,95.4955
511554,0.80684,0.551871,102.491
548171,0.81496,0.530902,110.097
