Duration, Accuracy, Sample_Mean_loss, Total_comm_time
105097,0.33076,1.90397,14.9732
201699,0.47186,1.48249,25.383
296577,0.56204,1.22926,34.6927
392374,0.6337,1.04186,44.8209
489644,0.68022,0.918404,54.1264
586637,0.71274,0.822611,63.322
681688,0.73614,0.763309,73.8255
777410,0.75526,0.706227,88.4803
874370,0.76614,0.672023,99.227
970301,0.78054,0.631806,108.613
1063953,0.79186,0.602183,118.995
1159428,0.80922,0.551845,127.681
1253168,0.81498,0.538708,138.398
1348084,0.8286,0.498527,148.766
1439220,0.83328,0.484225,157.85
