Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
115457,0.16242,2.27007,0.2983,2.28195
223033,0.33412,1.98335,0.4193,1.76361
338418,0.4647,1.5422,0.5151,1.37916
444220,0.5503,1.2748,0.582,1.19617
556005,0.61314,1.10949,0.6298,1.06737
663201,0.65482,0.998701,0.6546,0.998082
783517,0.68398,0.916624,0.6753,0.942242
896481,0.7071,0.851105,0.6889,0.896557
1019131,0.72624,0.799702,0.7046,0.857284
1132368,0.74302,0.754077,0.713,0.828585
1244879,0.75542,0.715277,0.721,0.809281
1348545,0.76784,0.683203,0.7256,0.792471
1463856,0.77862,0.652847,0.7295,0.778803
1572355,0.78894,0.624901,0.7338,0.767252
1684841,0.79728,0.59945,0.736,0.760444
