Duration, Accuracy, Sample_Mean_loss, Total_comm_time
166608,0.25762,2.13069,106.597
359876,0.38876,1.69912,229.064
542996,0.4929,1.42577,344.546
727919,0.55568,1.25191,461.97
905181,0.60646,1.11792,573.898
1086231,0.64078,1.02445,686.847
1271232,0.66698,0.951432,801.659
1453565,0.68628,0.898589,916.129
1638279,0.70626,0.845846,1032.81
1823124,0.72294,0.799628,1148.17
2008280,0.73522,0.761537,1262.94
2191060,0.7449,0.733842,1379.11
2373569,0.7559,0.703545,1494.41
2560180,0.77174,0.662247,1615.54
2742527,0.77608,0.649886,1732.32
