Duration, Accuracy, Sample_Mean_loss, Total_comm_time
32418,0.3698,1.77871,3.90043
65963,0.5234,1.35584,7.27879
99660,0.58846,1.17806,10.692
133756,0.62696,1.06852,14.0487
168280,0.6537,0.994376,18.0195
204596,0.68138,0.918145,21.5426
240286,0.69414,0.881169,25.0024
276195,0.71686,0.816997,28.504
312528,0.7293,0.775077,32.5994
351002,0.74814,0.72871,36.0686
388154,0.7609,0.692274,39.5616
424328,0.77406,0.65358,43.0737
459122,0.78256,0.627292,47.0553
496027,0.79038,0.60799,50.5482
533285,0.80404,0.573275,53.9512
