Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
47547,0.19698,2.24858,0.2628,2.22916
90790,0.33688,2.02328,0.3918,1.91354
134431,0.4505,1.69964,0.4952,1.53727
177676,0.5325,1.38653,0.5578,1.27525
228672,0.60178,1.14621,0.618,1.09502
271460,0.65692,0.98524,0.6631,0.976411
312984,0.70352,0.862926,0.6894,0.905856
354449,0.73538,0.77366,0.7128,0.846767
401395,0.76292,0.697927,0.7251,0.806251
442324,0.7841,0.638207,0.7364,0.771058
483577,0.80198,0.588977,0.7426,0.755344
524947,0.8173,0.544491,0.7479,0.743238
571589,0.8313,0.506281,0.7479,0.740153
613197,0.8429,0.47404,0.7515,0.73344
654262,0.8544,0.444098,0.7493,0.736773
